iteration,dataset,model,noise_model,Accuracy,Precision,Recall,F1,ROC AUC,Min number of executions,Avg number of executions,Max number of executions,Classification time[s],Min time per forward pass[s],Avg time per forward pass[s],Max time per forward pass[s]
1,A,X,None,0.6833333333333333,0.75,0.36,0.4864864864864865,0.6639999999999999,1024,1024.0,1024,0.5933116950000112,0.007948399999804678,0.00976474324998738,0.022371799999746145
2,A,X,None,0.6833333333333333,0.75,0.36,0.4864864864864865,0.6754285714285715,1024,1024.0,1024,0.5637907949999317,0.008165100000042003,0.009275089916665516,0.016584899999998015
3,A,X,None,0.6666666666666666,0.7272727272727273,0.32,0.4444444444444444,0.6788571428571428,1024,1024.0,1024,0.6031046950001837,0.008089200000085839,0.009921628250018936,0.01625530000001163
4,A,X,None,0.6833333333333333,0.75,0.36,0.4864864864864865,0.6634285714285714,1024,1024.0,1024,0.5647655949996988,0.008180799999990995,0.009292451583345003,0.018072700000175246
5,A,X,None,0.6833333333333333,0.75,0.36,0.4864864864864865,0.6531428571428571,1024,1024.0,1024,0.5594756950004012,0.007990100000370148,0.009195656583347044,0.012740000000121654
6,A,X,None,0.6833333333333333,0.75,0.36,0.4864864864864865,0.6457142857142857,1024,1024.0,1024,0.6419138940000266,0.008079000000179803,0.010561603233365227,0.029123799999979383
7,A,X,None,0.6833333333333333,0.75,0.36,0.4864864864864865,0.6600000000000001,1024,1024.0,1024,0.5607065949998287,0.008224300000165385,0.009213344916664331,0.014056200000140961
8,A,X,None,0.7,0.7692307692307693,0.4,0.5263157894736842,0.6605714285714286,1024,1024.0,1024,0.5633925939996516,0.00815680000005159,0.009267948233393023,0.012658600000122533
9,A,X,None,0.6833333333333333,0.75,0.36,0.4864864864864865,0.6742857142857143,1024,1024.0,1024,0.5712095949998002,0.008206100000279548,0.00932877824998286,0.012140199999976176
10,A,X,None,0.7,0.7692307692307693,0.4,0.5263157894736842,0.641142857142857,1024,1024.0,1024,0.5835405939997145,0.007830600000033883,0.009598178233341059,0.015982599999915692
11,A,X,None,0.6833333333333333,0.75,0.36,0.4864864864864865,0.6508571428571428,1024,1024.0,1024,0.5653591949999281,0.007989000000179658,0.00930260658331766,0.01955820000011954
12,A,X,None,0.6833333333333333,0.75,0.36,0.4864864864864865,0.668,1024,1024.0,1024,0.5909169940000538,0.007998899999620335,0.009714773250038888,0.01290130000006684
13,A,X,None,0.6666666666666666,0.7272727272727273,0.32,0.4444444444444444,0.6537142857142857,1024,1024.0,1024,0.5766468950000672,0.008165000000190048,0.009486116583328414,0.015215299999908893
14,A,X,None,0.6833333333333333,0.75,0.36,0.4864864864864865,0.6628571428571429,1024,1024.0,1024,0.6183755950000887,0.008208700000068347,0.010170124916688414,0.020515100000011444
15,A,X,None,0.6833333333333333,0.75,0.36,0.4864864864864865,0.6668571428571428,1024,1024.0,1024,0.5514560939996045,0.008033900000100402,0.009066866566649878,0.01114659999984724
