iteration,dataset,model,noise_model,Accuracy,Precision,Recall,F1,ROC AUC,Min number of executions,Avg number of executions,Max number of executions,Min number of valids,Max number of valids,Avg number of valids,Min number of invalids,Max number of invalids,Avg number of invalids,Classification time[s],Min time per forward pass[s],Avg time per forward pass[s],Max time per forward pass[s]
1,C,X,None,0.6578947368421053,0.6509433962264151,0.971830985915493,0.7796610169491526,0.7830003275466754,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.146416692001367,0.020918199999869103,0.0232633846403986,0.04406510000262642
2,C,X,None,0.6666666666666666,0.6601941747572816,0.9577464788732394,0.7816091954022989,0.7764493940386504,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.467642690000503,0.021143000998563366,0.024833454842002157,0.05086930299876258
3,C,X,None,0.6578947368421053,0.6568627450980392,0.9436619718309859,0.7745664739884393,0.7833278742220766,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.467734686997574,0.02112720500008436,0.02415693814040615,0.03669870900193928
4,C,X,None,0.6491228070175439,0.6476190476190476,0.9577464788732394,0.7727272727272727,0.786603340976089,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.280684792000102,0.020973006001440808,0.02382250407875593,0.037064111998915905
5,C,X,None,0.6491228070175439,0.6534653465346535,0.9295774647887324,0.7674418604651163,0.7807075008188668,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.315875098000106,0.021035507001215592,0.023784225631524145,0.03567641100016772
6,C,X,None,0.6754385964912281,0.6634615384615384,0.971830985915493,0.7885714285714286,0.7848018342613822,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.2464570839983935,0.021177202001126716,0.023668437657889035,0.03371770400190144
7,C,X,None,0.6666666666666666,0.6601941747572816,0.9577464788732394,0.7816091954022989,0.7969210612512283,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.628988325999671,0.021000106000428787,0.02630247902625502,0.21637095700134523
8,C,X,None,0.6666666666666666,0.6633663366336634,0.9436619718309859,0.7790697674418605,0.7864395676383884,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.3543186979986785,0.020801804999791784,0.024159270350649246,0.039703210997686256
9,C,X,None,0.6491228070175439,0.6476190476190476,0.9577464788732394,0.7727272727272727,0.7780871274156568,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.926678669999092,0.020901004998449935,0.026437575850905615,0.07306241799960844
10,C,X,None,0.6754385964912281,0.67,0.9436619718309859,0.783625730994152,0.7859482476252866,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.480055465999612,0.021179803003178677,0.02479202717567157,0.033084003000112716
11,C,X,None,0.6666666666666666,0.6601941747572816,0.9577464788732394,0.7816091954022989,0.7810350474942679,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.610974134000571,0.02124710300267907,0.02533118622781522,0.0431955050007673
12,C,X,None,0.6578947368421053,0.6538461538461539,0.9577464788732394,0.7771428571428571,0.7666229937766131,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.3983935469987046,0.02106290300071123,0.02408612258780825,0.032381305001763394
13,C,X,None,0.6666666666666666,0.6601941747572816,0.9577464788732394,0.7816091954022989,0.7839829675728791,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.379119751996768,0.02077130100224167,0.024157480999954777,0.03910160600207746
14,C,X,None,0.6754385964912281,0.6666666666666666,0.9577464788732394,0.7861271676300579,0.7790697674418605,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.551566735000961,0.021275505001540296,0.025005157701838344,0.04015020299993921
15,C,X,None,0.6578947368421053,0.6538461538461539,0.9577464788732394,0.7771428571428571,0.7867671143137898,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.341372765000415,0.02079100500122877,0.024031530228265246,0.03332260800016229
16,C,X,None,0.6578947368421053,0.6568627450980392,0.9436619718309859,0.7745664739884393,0.7884048476907958,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.517006131998642,0.02081414100030088,0.024776835938546196,0.03266636500120512
17,C,X,None,0.6491228070175439,0.6504854368932039,0.9436619718309859,0.7701149425287356,0.7697346871929249,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.465832669997326,0.02085880099912174,0.024712398175292867,0.037954401999741094
18,C,X,None,0.6491228070175439,0.6476190476190476,0.9577464788732394,0.7727272727272727,0.7866033409760891,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.354617984998185,0.02129970200257958,0.02400533289456737,0.03167490299892961
19,C,X,None,0.6491228070175439,0.6504854368932039,0.9436619718309859,0.7701149425287356,0.7787422207664592,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.635545869001362,0.021066001998406136,0.025696931517654377,0.1585108159997617
20,C,X,None,0.6491228070175439,0.6476190476190476,0.9577464788732394,0.7727272727272727,0.7728463806092368,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.494317767999746,0.02079500000036205,0.02471594770171929,0.043893199999729404
21,C,X,None,0.6491228070175439,0.6504854368932039,0.9436619718309859,0.7701149425287356,0.779724860792663,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.362764575998881,0.020966299998690374,0.02412425164922688,0.03145880000010948
22,C,X,None,0.6491228070175439,0.6504854368932039,0.9436619718309859,0.7701149425287356,0.7762856207009499,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.692606881002575,0.020916397999826586,0.02522293541206684,0.04754819600202609
23,C,X,None,0.6578947368421053,0.6538461538461539,0.9577464788732394,0.7771428571428571,0.7851293809367834,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.426674135000212,0.02078709799752687,0.02433624367547868,0.03202509699985967
24,C,X,None,0.6578947368421053,0.6509433962264151,0.971830985915493,0.7796610169491526,0.7846380609236816,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.513173522998841,0.020535498999379342,0.02471903958767622,0.036430699001357425
25,C,X,None,0.6578947368421053,0.6538461538461539,0.9577464788732394,0.7771428571428571,0.7903701277432034,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.341240137000568,0.02095729899883736,0.024258257508591397,0.03848519600069267
1,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7967572879135277,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,16.37566654799957,0.09720549600024242,0.11944754137712471,0.2836760239988507
2,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8101867016049786,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,15.948525751999114,0.09888840100029483,0.11600387675418078,0.26544670200019027
3,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8072387815263676,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,15.514087237999775,0.09901790100047947,0.11320536681577914,0.23463760199956596
4,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8227972486079267,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,15.617469274999166,0.09875210099926335,0.11376237407890394,0.3013514039994334
5,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8075663282017689,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,15.616028995998931,0.09775270099999034,0.11344402509651748,0.23154980300023453
6,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7754667540124467,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,15.484624884000368,0.09802299499642686,0.11257331758787857,0.18651619000229402
7,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7854569276121847,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,15.929241763999016,0.10037569800260826,0.11614551433351089,0.24063869700330542
8,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8396659023910907,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,16.174097001003247,0.09990389499944285,0.11801324528957928,0.24054705999878934
9,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7975761546020308,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,16.238926106998406,0.09923411000272608,0.11844178590339045,0.24413920599909034
10,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7920078611202096,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,16.196794845000113,0.10473140999965835,0.11786779959612959,0.32364810700164526
11,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8056010481493612,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,16.700660055001208,0.10863139999855775,0.12182235200883665,0.24491810100153089
12,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7854569276121847,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,16.721280940000725,0.1083042430000205,0.12138119298224251,0.2633773609995842
13,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7987225679659351,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,17.9915692450013,0.10642846399787231,0.1310159706490435,0.40653405400007614
14,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7843105142482804,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,16.15031109499978,0.10280820499974652,0.11749879370169462,0.2374476129989489
15,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8080576482148706,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,15.79393888499908,0.09911370999907376,0.11506456586861882,0.17211780499928864
