iteration,dataset,model,noise_model,Accuracy,Precision,Recall,F1,ROC AUC,Min number of executions,Avg number of executions,Max number of executions,Classification time[s],Min time per forward pass[s],Avg time per forward pass[s],Max time per forward pass[s]
20,B,X,None,0.6753246753246753,0.5531914893617021,0.4727272727272727,0.5098039215686274,0.6902662993572084,1024,1024.0,1024,1.3829437909989792,0.008045402999414364,0.00885866677927206,0.013139104999936535
21,B,X,None,0.6818181818181818,0.5652173913043478,0.4727272727272727,0.5148514851485149,0.6893480257116621,1024,1024.0,1024,1.4107722040007502,0.007994902998689213,0.009039887649466094,0.012914506000015535
22,B,X,None,0.6883116883116883,0.574468085106383,0.4909090909090909,0.5294117647058824,0.7036730945821854,1024,1024.0,1024,1.4189742070011562,0.008033802998397732,0.00909234738952222,0.01290310500007763
23,B,X,None,0.6753246753246753,0.5531914893617021,0.4727272727272727,0.5098039215686274,0.6955004591368228,1024,1024.0,1024,1.4076000610002666,0.007912102999398485,0.009017617850561207,0.012544006000098307
24,B,X,None,0.6753246753246753,0.5555555555555556,0.45454545454545453,0.5,0.7005509641873279,1024,1024.0,1024,1.3747742330015171,0.007940004999909434,0.008809023532501362,0.012193705999379745
25,B,X,None,0.6883116883116883,0.5777777777777777,0.4727272727272727,0.52,0.6988980716253443,1024,1024.0,1024,1.4171144560004905,0.00799340400044457,0.009077980149260083,0.01083250600095198
1,B,X,Basic,0.42207792207792205,0.375,0.9272727272727272,0.5340314136125655,0.6614325068870522,1024,1024.0,1024,6.567286407000211,0.03874572099994111,0.04251234500647966,0.05455222899945511
2,B,X,Basic,0.44805194805194803,0.3897058823529412,0.9636363636363636,0.5549738219895288,0.7094582185491276,1024,1024.0,1024,6.567304070998944,0.038140300999657484,0.042517080870146114,0.05070120199889061
3,B,X,Basic,0.44155844155844154,0.38686131386861317,0.9636363636363636,0.5520833333333334,0.7276400367309458,1024,1024.0,1024,6.7180954970008315,0.03841710499909823,0.043495214220657344,0.1683845219995419
4,B,X,Basic,0.43506493506493504,0.3805970149253731,0.9272727272727272,0.5396825396825397,0.6525252525252526,1024,1024.0,1024,6.634331620000012,0.03874901000017417,0.04295137087018548,0.05080061300031957
5,B,X,Basic,0.44155844155844154,0.38345864661654133,0.9272727272727272,0.5425531914893617,0.6749311294765841,1024,1024.0,1024,6.703137210999557,0.03875680300006934,0.04339667669486894,0.04973220300053072
6,B,X,Basic,0.461038961038961,0.39705882352941174,0.9818181818181818,0.5654450261780105,0.6554637281910008,1024,1024.0,1024,6.764080095999816,0.03871940199860546,0.04379252935058349,0.16213790900110325
7,B,X,Basic,0.4090909090909091,0.37142857142857144,0.9454545454545454,0.5333333333333333,0.6798898071625346,1024,1024.0,1024,6.7540044819998,0.03873860099884041,0.043726564831169004,0.05170859899953939
8,B,X,Basic,0.43506493506493504,0.38235294117647056,0.9454545454545454,0.5445026178010471,0.6821854912764004,1024,1024.0,1024,6.680798015000619,0.039083301000573556,0.04325041178566749,0.05314460100089491
9,B,X,Basic,0.42857142857142855,0.37777777777777777,0.9272727272727272,0.5368421052631579,0.6542699724517906,1024,1024.0,1024,6.796271949000584,0.038582896999287186,0.04400113995464605,0.16180108899970946
10,B,X,Basic,0.44805194805194803,0.38461538461538464,0.9090909090909091,0.5405405405405406,0.6901744719926538,1024,1024.0,1024,6.8388570150000305,0.038926802000787575,0.04427205008446494,0.05571940200024983
11,B,X,Basic,0.474025974025974,0.4015151515151515,0.9636363636363636,0.5668449197860963,0.690358126721763,1024,1024.0,1024,6.820749505001004,0.03913189800005057,0.044156911064939255,0.0532933980011876
12,B,X,Basic,0.42207792207792205,0.37681159420289856,0.9454545454545454,0.538860103626943,0.6657483930211202,1024,1024.0,1024,6.851914523000232,0.038558399999601534,0.044360113136392175,0.1573753989996476
13,B,X,Basic,0.43506493506493504,0.38405797101449274,0.9636363636363636,0.5492227979274611,0.6567493112947659,1024,1024.0,1024,6.836953708998408,0.03868949899879226,0.044260518240248944,0.0965018990009412
14,B,X,Basic,0.43506493506493504,0.38405797101449274,0.9636363636363636,0.5492227979274611,0.6918273645546372,1024,1024.0,1024,6.930718971998431,0.03871909900044557,0.04487087644152874,0.06308509900009085
15,B,X,Basic,0.42857142857142855,0.3829787234042553,0.9818181818181818,0.5510204081632653,0.7062442607897153,1024,1024.0,1024,6.804057549999925,0.03885699899910833,0.044049430194765544,0.06309269899975334
16,B,X,Basic,0.44805194805194803,0.3897058823529412,0.9636363636363636,0.5549738219895288,0.6955922865013775,1024,1024.0,1024,6.884610275999876,0.0393776999990223,0.0445733589350583,0.16104319800069788
17,B,X,Basic,0.44155844155844154,0.3816793893129771,0.9090909090909091,0.5376344086021505,0.6824609733700644,1024,1024.0,1024,6.712468876999992,0.03869389800092904,0.0434561206492818,0.051576599000327406
18,B,X,Basic,0.4675324675324675,0.4,0.9818181818181818,0.5684210526315789,0.7547291092745638,1024,1024.0,1024,7.839041098000962,0.03828899799918872,0.0507587293245765,0.26400664699940535
19,B,X,Basic,0.44805194805194803,0.3897058823529412,0.9636363636363636,0.5549738219895288,0.7046831955922865,1024,1024.0,1024,6.967450426000141,0.03893925800002762,0.045106967805256686,0.05540543999995862
20,B,X,Basic,0.45454545454545453,0.3893129770992366,0.9272727272727272,0.5483870967741935,0.6943985307621672,1024,1024.0,1024,6.876226354001119,0.03874023199932708,0.04451898472728187,0.057161947999702534
21,B,X,Basic,0.42857142857142855,0.3795620437956204,0.9454545454545454,0.5416666666666666,0.6756657483930212,1024,1024.0,1024,6.801108769001075,0.038475633000416565,0.044029515954526366,0.05471521599974949
22,B,X,Basic,0.44155844155844154,0.3851851851851852,0.9454545454545454,0.5473684210526316,0.6756657483930213,1024,1024.0,1024,6.9707147239987535,0.039209038000990404,0.045132962422066124,0.16614544999902137
23,B,X,Basic,0.43506493506493504,0.3805970149253731,0.9272727272727272,0.5396825396825397,0.6992653810835628,1024,1024.0,1024,6.9652896219995455,0.03911873800097965,0.04509185457140734,0.07163986899831798
24,B,X,Basic,0.4090909090909091,0.3695652173913043,0.9272727272727272,0.5284974093264249,0.6639118457300275,1024,1024.0,1024,6.8091079509995325,0.039022918999762624,0.044058339857077626,0.05293732599966461
25,B,X,Basic,0.44805194805194803,0.38461538461538464,0.9090909090909091,0.5405405405405406,0.6754820936639119,1024,1024.0,1024,6.87767885500034,0.03896504099975573,0.04452550824018025,0.15988812899922777
1,B,Y,None,0.6948051948051948,0.5740740740740741,0.5636363636363636,0.5688073394495413,0.7425160697887971,1024,1024.0,1024,1.4986138040003425,0.008268499999758205,0.009717581837628733,0.015546100999927148
2,B,Y,None,0.6948051948051948,0.5740740740740741,0.5636363636363636,0.5688073394495413,0.744077134986226,1024,1024.0,1024,1.475474373999532,0.008465998000247055,0.009567983604052619,0.013461796001138282
3,B,Y,None,0.6948051948051948,0.5740740740740741,0.5636363636363636,0.5688073394495413,0.7398530762167126,1024,1024.0,1024,1.4460379560005094,0.008264598000096157,0.009376725045383085,0.018316695999601507
4,B,Y,None,0.7077922077922078,0.5961538461538461,0.5636363636363636,0.5794392523364486,0.7340679522497704,1024,1024.0,1024,1.4619791530003567,0.0082058979987778,0.009480802941593596,0.013333496999621275
5,B,Y,None,0.6818181818181818,0.56,0.509090909090909,0.5333333333333333,0.7347107438016529,1024,1024.0,1024,1.489628545999949,0.00812589799897978,0.009659774324606954,0.014013595999131212
6,B,Y,None,0.6818181818181818,0.5555555555555556,0.5454545454545454,0.5504587155963303,0.7397612488521579,1024,1024.0,1024,1.465797904998908,0.00809699799901864,0.00950581756491634,0.014706296999065671
7,B,Y,None,0.7077922077922078,0.6,0.5454545454545454,0.5714285714285714,0.7328741965105601,1024,1024.0,1024,1.489147917000082,0.008203700001104153,0.00965635205845395,0.016911500999412965
8,B,Y,None,0.6883116883116883,0.5686274509803921,0.5272727272727272,0.5471698113207547,0.7412304866850321,1024,1024.0,1024,1.4642544229991472,0.008222999998906744,0.009495211837598948,0.013755500000115717
9,B,Y,None,0.6818181818181818,0.5555555555555556,0.5454545454545454,0.5504587155963303,0.7362718089990817,1024,1024.0,1024,1.4636876229997142,0.00818009999966307,0.00949138066884094,0.013995900000736583
10,B,Y,None,0.6818181818181818,0.5576923076923077,0.5272727272727272,0.5420560747663551,0.7345270890725437,1024,1024.0,1024,1.4395709230011562,0.008244999999078573,0.009335233266265041,0.016219700000874582
11,B,Y,None,0.6818181818181818,0.5535714285714286,0.5636363636363636,0.5585585585585585,0.743526170798898,1024,1024.0,1024,1.506518922999021,0.008305199999085744,0.009769087811698475,0.013962099999844213
12,B,Y,None,0.6883116883116883,0.5660377358490566,0.5454545454545454,0.5555555555555556,0.7352617079889807,1024,1024.0,1024,1.48362242300027,0.008147599999574595,0.009621330019446712,0.014442599998801597
13,B,Y,None,0.6948051948051948,0.5769230769230769,0.5454545454545454,0.5607476635514018,0.7359044995408631,1024,1024.0,1024,1.5016682169989508,0.008161600000676117,0.009737531279210702,0.01475860000027751
14,B,Y,None,0.6883116883116883,0.5660377358490566,0.5454545454545454,0.5555555555555556,0.740495867768595,1024,1024.0,1024,1.4834861159997672,0.008091800000329386,0.009620333220895687,0.015079099999638856
15,B,Y,None,0.6883116883116883,0.5636363636363636,0.5636363636363636,0.5636363636363636,0.7358126721763085,1024,1024.0,1024,1.5283683180005028,0.008244499998909305,0.009910889727294701,0.01631730000008247
16,B,Y,None,0.6883116883116883,0.5660377358490566,0.5454545454545454,0.5555555555555556,0.73544536271809,1024,1024.0,1024,1.440688016000422,0.008116099999824655,0.009342585818168507,0.011157899998579524
17,B,Y,None,0.6753246753246753,0.5471698113207547,0.5272727272727272,0.5370370370370371,0.7386593204775023,1024,1024.0,1024,1.490653516999373,0.008240099999966333,0.009666520889628114,0.01256190000094648
18,B,Y,None,0.6818181818181818,0.5576923076923077,0.5272727272727272,0.5420560747663551,0.7318640955004592,1024,1024.0,1024,1.5009971950003091,0.008093098000244936,0.00973322790252803,0.013279995999255334
19,B,Y,None,0.6948051948051948,0.5740740740740741,0.5636363636363636,0.5688073394495413,0.7385674931129477,1024,1024.0,1024,1.5179994999998598,0.00827849799861724,0.009843846759737629,0.017311994999545277
20,B,Y,None,0.7077922077922078,0.6,0.5454545454545454,0.5714285714285714,0.7352617079889807,1024,1024.0,1024,1.4431333189986617,0.008087598000201979,0.009358692331214162,0.013817495999319362
21,B,Y,None,0.7012987012987013,0.5849056603773585,0.5636363636363636,0.5740740740740741,0.7408631772268135,1024,1024.0,1024,1.449585724998542,0.00818889800029865,0.009399881331136114,0.014186395999786328
22,B,Y,None,0.6818181818181818,0.5555555555555556,0.5454545454545454,0.5504587155963303,0.7338842975206612,1024,1024.0,1024,1.48215766300018,0.008178098998541827,0.009611417292117867,0.015536699000222143
23,B,Y,None,0.6883116883116883,0.5660377358490566,0.5454545454545454,0.5555555555555556,0.7341597796143251,1024,1024.0,1024,1.4900042999997822,0.008200799999031005,0.009662335707841297,0.01294490099826362
24,B,Y,None,0.7077922077922078,0.5961538461538461,0.5636363636363636,0.5794392523364486,0.7432506887052341,1024,1024.0,1024,1.485087557000952,0.008292600001368555,0.009630382837559563,0.01324210100028722
25,B,Y,None,0.6688311688311688,0.5370370370370371,0.5272727272727272,0.5321100917431193,0.7340679522497704,1024,1024.0,1024,1.5978848609993292,0.008322299998326343,0.010361673772800336,0.02026600099998177
1,B,Y,Basic,0.6298701298701299,0.4883720930232558,0.7636363636363637,0.5957446808510638,0.713682277318641,1024,1024.0,1024,6.815551141000469,0.03899310199994943,0.04424222624023166,0.06417150299967034
