iteration,dataset,model,noise_model,Accuracy,Precision,Recall,F1,ROC AUC,Min number of executions,Avg number of executions,Max number of executions,Classification time[s],Min time per forward pass[s],Avg time per forward pass[s],Max time per forward pass[s]
20,C,Y,None,0.8245614035087719,0.7865168539325843,0.9859154929577465,0.875,0.9808385194890272,1024,1024.0,1024,1.063062301998798,0.008144200999595341,0.009311578087746105,0.011932100998819806
21,C,Y,None,0.8245614035087719,0.7802197802197802,1.0,0.8765432098765432,0.9855879462823454,1024,1024.0,1024,1.1060265060004895,0.008256601000539376,0.009686536017557444,0.014024201998836361
22,C,Y,None,0.8245614035087719,0.7865168539325843,0.9859154929577465,0.875,0.9841139862430396,1024,1024.0,1024,1.100569304999226,0.008268301000498468,0.009640407061405105,0.012883101000625174
23,C,Y,None,0.8421052631578947,0.797752808988764,1.0,0.8875,0.9778905994104159,1024,1024.0,1024,1.0998447059992031,0.008407701001488022,0.009634545657845911,0.014238900999771431
24,C,Y,None,0.8157894736842105,0.7777777777777778,0.9859154929577465,0.8695652173913043,0.9790370127743203,1024,1024.0,1024,1.1123894069987728,0.00832610099860176,0.009743322868528418,0.011347001000103774
25,C,Y,None,0.8157894736842105,0.7777777777777778,0.9859154929577465,0.8695652173913043,0.980019652800524,1024,1024.0,1024,1.1806904630011559,0.008295100000395905,0.010341415464991817,0.017751002000295557
1,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8557156894857517,1024,1024.0,1024,5.936327515000812,0.040017682000325294,0.05205637030699188,0.25647558600030607
2,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8311496888306584,1024,1024.0,1024,5.273002040001302,0.04005443300047773,0.04623717050872712,0.08344236999982968
3,C,Y,Basic,0.631578947368421,0.6283185840707964,1.0,0.7717391304347826,0.7985587946282345,1024,1024.0,1024,5.01362139900084,0.04027193399997486,0.04396376138595913,0.051684144000319066
4,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.799213887979037,1024,1024.0,1024,5.506196939000802,0.04068039699996007,0.0482840792719639,0.2561792729993613
5,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7669505404520144,1024,1024.0,1024,5.6271330090003175,0.041206332000001566,0.04934312200879376,0.09175427000081982
6,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7772682607271536,1024,1024.0,1024,5.926066706000711,0.04079793100027018,0.05196567985078952,0.09960400500131072
7,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8467081559122176,1024,1024.0,1024,5.365538890000607,0.04150140400088276,0.04704977447379446,0.05541590200118662
8,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8340976089092695,1024,1024.0,1024,5.569546362999972,0.041376504001163994,0.04883924178068953,0.10129600999971444
9,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.821323288568621,1024,1024.0,1024,5.646413992999442,0.04069110399905185,0.049512532359553836,0.06598216999918805
10,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8080576482148707,1024,1024.0,1024,5.812924296000347,0.041529644000547705,0.050972299956172945,0.1015363989990874
11,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8404847690795939,1024,1024.0,1024,6.186700952999672,0.042002799000329105,0.05425192678073169,0.31390249700052664
12,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8540779561087455,1024,1024.0,1024,5.8493553640000755,0.04272160300024552,0.05128983301753914,0.06767700599993987
13,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8693088765149033,1024,1024.0,1024,5.528115926001192,0.04195588600123301,0.048475616017560494,0.07686600600027305
14,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8201768752047166,1024,1024.0,1024,5.653135196000221,0.04164748599941959,0.049571954377202736,0.1105888629990659
15,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8650507697346872,1024,1024.0,1024,8.29511563899905,0.04184439499840664,0.0727416152543204,0.23270596899965312
16,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7772682607271535,1024,1024.0,1024,6.161904582999341,0.04226979899976868,0.054032682306856976,0.3084788899996056
17,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8580085162135604,1024,1024.0,1024,5.990260085000045,0.0432044989993301,0.052528497263154894,0.15034957500029122
18,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7956108745496233,1024,1024.0,1024,5.561783986999217,0.04115009899942379,0.04877075953513747,0.08348751300036383
19,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8470357025876186,1024,1024.0,1024,5.755812527999296,0.04120380600033968,0.0504722098948581,0.10415511599967431
20,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8396659023910908,1024,1024.0,1024,5.826923341999645,0.04205691900097008,0.05109555211402039,0.15491336999912164
21,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.848182115951523,1024,1024.0,1024,5.567865639999582,0.04196350399979565,0.04882227403512636,0.06822509899939178
22,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8006878480183427,1024,1024.0,1024,5.528488529998867,0.04107770399969013,0.04847962307009941,0.23565042500013078
23,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7751392073370454,1024,1024.0,1024,5.775649874998635,0.04159650499968848,0.05064619099989374,0.2896641389997967
24,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.84736324926302,1024,1024.0,1024,5.402315145000102,0.04121589900023537,0.04737284425437681,0.06336849900071684
25,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8383557156894857,1024,1024.0,1024,5.453218636999736,0.04098579899982724,0.047819474008831186,0.09881879999920784
1,C,Z,None,0.6929824561403509,0.7307692307692307,0.8028169014084507,0.7651006711409396,0.6572224041925975,1,4.254385964912281,23,4.807730757001991,0.008133699997415533,0.04215606719276765,0.2286473019994446
2,C,Z,None,0.7894736842105263,0.8051948051948052,0.8732394366197183,0.8378378378378378,0.7622011136586964,1,4.333333333333333,20,4.811890313998447,0.008164191000105347,0.04219417468457801,0.18447749400002067
3,C,Z,None,0.7807017543859649,0.7948717948717948,0.8732394366197183,0.8322147651006712,0.7505732066819522,1,4.587719298245614,28,4.942053701997793,0.008106600998871727,0.04333576670187381,0.2561997410011827
4,C,Z,None,0.7631578947368421,0.782051282051282,0.8591549295774648,0.8187919463087249,0.7319030461840811,1,4.307017543859649,30,4.839129370000592,0.008184100999642396,0.042433106754431626,0.2897581459983485
5,C,Z,None,0.7368421052631579,0.7662337662337663,0.8309859154929577,0.7972972972972973,0.7061906321650835,1,4.973684210526316,34,5.3995425820030505,0.00811161699675722,0.047349715587826496,0.30016285400051856
6,C,Z,None,0.7807017543859649,0.7674418604651163,0.9295774647887324,0.8407643312101911,0.7322305928594826,1,4.728070175438597,26,4.953959905000374,0.008140859001287026,0.04344131051760071,0.22934469999745488
7,C,Z,None,0.7894736842105263,0.7831325301204819,0.9154929577464789,0.8441558441558441,0.7484441532918441,1,4.666666666666667,37,5.008890427998267,0.008253105999756372,0.04392214406148572,0.3572342719999142
8,C,Z,None,0.7807017543859649,0.7875,0.8873239436619719,0.8344370860927153,0.7459875532263347,1,4.701754385964913,36,5.277147908996994,0.00827340199975879,0.04627419919281812,0.3168217860002187
9,C,Z,None,0.7543859649122807,0.7945205479452054,0.8169014084507042,0.8055555555555556,0.7340320995741895,1,4.447368421052632,23,4.890882575997239,0.008512301999871852,0.042886966456296104,0.2225542599990149
10,C,Z,None,0.7631578947368421,0.775,0.8732394366197183,0.8211920529801324,0.7273173927284637,1,4.798245614035087,50,5.121249600000738,0.008370802999706939,0.04490858421916512,0.453298652999365
11,C,Z,None,0.7368421052631579,0.759493670886076,0.8450704225352113,0.8,0.7016049787094661,1,4.491228070175438,23,4.817835017001926,0.008370584997464903,0.04224706068424367,0.23115497100297944
12,C,Z,None,0.8157894736842105,0.8205128205128205,0.9014084507042254,0.8590604026845637,0.7879135276776941,1,4.7105263157894735,50,4.944500261997746,0.00835220100270817,0.04335814703495488,0.4895950360005372
13,C,Z,None,0.7456140350877193,0.7625,0.8591549295774648,0.8079470198675497,0.7086472322305928,1,4.280701754385965,32,4.559754755002359,0.008159900000464404,0.03998338995622537,0.28730824000012944
14,C,Z,None,0.7719298245614035,0.7777777777777778,0.8873239436619719,0.8289473684210527,0.7343596462495905,1,4.7368421052631575,39,5.016593953001575,0.008175800001481548,0.04399127766654394,0.3800113199977204
15,C,Z,None,0.7456140350877193,0.7560975609756098,0.8732394366197183,0.8104575163398693,0.7040615787749754,1,4.692982456140351,28,5.0398184309997305,0.008365200003026985,0.044194324833338135,0.27432280700304545
16,C,Z,None,0.7631578947368421,0.7682926829268293,0.8873239436619719,0.8235294117647058,0.7227317392728464,1,5.4298245614035086,50,5.798952779001411,0.0081583999999566,0.050853488412349976,0.4708546120018582
17,C,Z,None,0.6842105263157895,0.7108433734939759,0.8309859154929577,0.7662337662337663,0.6364231903046184,1,4.37719298245614,27,4.6412539189987,0.008515899997291854,0.0406981975351013,0.24925670199809247
18,C,Z,None,0.7192982456140351,0.7407407407407407,0.8450704225352113,0.7894736842105263,0.6783491647559777,1,5.517543859649122,31,5.934277431999362,0.008067298997048056,0.05203996343864179,0.3053953909984557
19,C,Z,None,0.8070175438596491,0.8181818181818182,0.8873239436619719,0.8513513513513513,0.7808712741565674,1,4.675438596491228,22,5.044822018000559,0.008282900998892728,0.0442378448947318,0.20528949399886187
20,C,Z,None,0.7631578947368421,0.775,0.8732394366197183,0.8211920529801324,0.7273173927284637,1,4.447368421052632,29,4.715807796997979,0.00817319999987376,0.04135239207875872,0.25783740499900887
21,C,Z,None,0.7456140350877193,0.7560975609756098,0.8732394366197183,0.8104575163398693,0.7040615787749754,1,4.254385964912281,30,4.528167976997793,0.008231001000240212,0.039706154184418745,0.27415251699858345
22,C,Z,None,0.7368421052631579,0.759493670886076,0.8450704225352113,0.8,0.7016049787094661,1,5.254385964912281,33,5.608593519998976,0.00850129799800925,0.04918272561387806,0.3015180460024567
23,C,Z,None,0.7894736842105263,0.821917808219178,0.8450704225352113,0.8333333333333334,0.7713724205699312,1,3.7719298245614037,19,4.076889215000847,0.008053899997321423,0.035747701894778355,0.1923505650011066
24,C,Z,None,0.8070175438596491,0.8024691358024691,0.9154929577464789,0.8552631578947368,0.7716999672453325,1,4.543859649122807,24,4.990768253999704,0.008281399997940753,0.043763209245553936,0.2430629019982007
25,C,Z,None,0.7368421052631579,0.7530864197530864,0.8591549295774648,0.8026315789473685,0.6970193252538487,1,4.342105263157895,22,4.666175595000823,0.00817539999843575,0.04091659118430949,0.20528930900036357
1,C,Z,Basic,0.6052631578947368,0.703125,0.6338028169014085,0.6666666666666666,0.5959711758925647,1,3.6578947368421053,27,18.737860121000267,0.03992649999781861,0.16435087825422606,1.2423346809991926
